clientId,person,position,phone,email,startDateOffset,endDateOffset
019d1009-2b83-763d-b378-47b344c714e8,Morris Krajcik,Operations Manager,(983) 226-6698,morris.krajcik@hilpert-kemmer-and-kunze.io,-15,
019d1009-2b83-763d-b378-47b344c714e8,Alvin Deckow,CIO,(505) 643-5223,alvin.deckow@hilpert-kemmer-and-kunze.io,-491,-279
019d1009-2c0d-7432-bfb0-ae8b3c7b535f,Ricardo Gaylord,Project Manager,(505) 675-9402,ricardo.gaylord@kulas-luettgen.biz,-59,0
019d1009-2c0d-7432-bfb0-ae8b3c7b535f,Shon Hilpert,Head of Procurement,(305) 983-8800,shon.hilpert@kulas-luettgen.biz,-475,
019d1009-2c17-7219-a990-74bd47c49bd4,Ernest Gusikowski,Operations Manager,(305) 268-9785,ernest.gusikowski@champlin-reichel.net,-578,
019d1009-2c17-7219-a990-74bd47c49bd4,Candida Harvey,CIO,(580) 513-1122,candida.harvey@champlin-reichel.net,-445,-202
019d1009-2c17-7219-a990-74bd47c49bd4,Emil Schimmel,HR Lead,(505) 618-1113,emil.schimmel@champlin-reichel.net,-54,401
019d1009-2c21-7712-98e8-a1da85905b5e,Tommy Marquardt,IT Specialist,(274) 203-6738,tommy.marquardt@kuvalis-christiansen-and-romaguera.biz,-315,
019d1009-2c2b-7618-ba20-14df99202815,James Bechtelar,Project Manager,(305) 434-8976,james.bechtelar@bradtke-kozey-and-rosenbaum.net,-517,-213
019d1009-2c2b-7618-ba20-14df99202815,Lilly Stanton,IT Specialist,(305) 207-6963,lilly.stanton@bradtke-kozey-and-rosenbaum.net,-277,-63
019d1009-2c2b-7618-ba20-14df99202815,Richie Flatley,Head of Procurement,(305) 807-6354,richie.flatley@bradtke-kozey-and-rosenbaum.net,-709,-253
019d1009-2c34-7d4e-ae18-9cbba7eafc95,Lilliam Hoppe,IT Specialist,(515) 290-7253,lilliam.hoppe@zulauf-kihn-and-lakin.net,-115,280
019d1009-2c34-7d4e-ae18-9cbba7eafc95,Lang Turcotte,Finance Manager,(505) 664-1379,lang.turcotte@zulauf-kihn-and-lakin.net,-524,
019d1009-2c3c-73da-ae29-3975141d56d4,Kim Conn,HR Lead,(983) 928-4334,kim.conn@king-adams.com,-560,
019d1009-2c3c-73da-ae29-3975141d56d4,Ellsworth Dickinson,Head of Procurement,(484) 554-8720,ellsworth.dickinson@king-adams.com,-72,
019d1009-2c3c-73da-ae29-3975141d56d4,Zachery Bednar,Project Manager,(305) 648-3358,zachery.bednar@king-adams.com,-722,
019d1009-2c46-7ddd-be3e-3a392fba54f3,Wiley Baumbach,Operations Manager,(447) 691-9301,wiley.baumbach@kling-kuhn-and-vonrueden.com,-34,25
019d1009-2c46-7ddd-be3e-3a392fba54f3,Brain Koch,CTO,(505) 668-3317,brain.koch@kling-kuhn-and-vonrueden.com,-494,-160
